"","Depth_m","Prof1_Temp_degC","Prof1_Sal_psu","Prof2_Temp_degC","Prof2_Sal_psu"
"639",638,8.302,34.901,7.3805,34.929
"640",639,8.2899,34.899,7.3778,34.929
"641",640,8.2779,34.897,7.3754,34.928
"642",641,8.2659,34.895,7.3722,34.929
"643",642,8.2538,34.893,7.3689,34.928
"644",643,8.2418,34.891,7.3653,34.928
"645",644,8.2297,34.889,7.3632,34.928
"646",645,8.2177,34.887,7.3601,34.928
"647",646,8.2056,34.885,7.3557,34.927
"648",647,8.1935,34.883,7.3527,34.927
"649",648,8.1815,34.881,7.3502,34.927
"650",649,8.1694,34.879,7.3477,34.927
"651",650,8.1573,34.877,7.3423,34.927
"652",651,8.1452,34.875,7.3349,34.926
"653",652,8.1331,34.873,7.3284,34.926
"654",653,8.121,34.871,7.3247,34.926
"655",654,8.1089,34.869,7.3216,34.926
"656",655,8.0969,34.867,7.3181,34.926
"657",656,8.0848,34.865,7.3141,34.925
"658",657,8.0727,34.863,7.3078,34.925
"659",658,8.0606,34.861,7.2993,34.925
"660",659,8.0485,34.859,7.295,34.924
"661",660,8.0364,34.857,7.2922,34.924
"662",661,8.0244,34.855,7.287,34.924
"663",662,8.0123,34.853,7.2822,34.924
"664",663,8.0002,34.851,7.2784,34.924
"665",664,7.9881,34.849,7.2734,34.923
"666",665,7.9761,34.847,7.2664,34.923
"667",666,7.964,34.845,7.2596,34.922
"668",667,7.952,34.843,7.2559,34.922
"669",668,7.9399,34.841,7.252,34.922
"670",669,7.9279,34.839,7.2478,34.922
"671",670,7.9158,34.837,7.242,34.922
"672",671,7.9038,34.835,7.234,34.921
"673",672,7.8918,34.833,7.2296,34.921
"674",673,7.8798,34.831,7.2258,34.921
"675",674,7.8678,34.829,7.2198,34.921
"676",675,7.8558,34.826,7.213,34.921
"677",676,7.8438,34.824,7.2078,34.92
"678",677,7.8318,34.822,7.2046,34.92
"679",678,7.8198,34.82,7.2027,34.92
"680",679,7.8078,34.818,7.2007,34.92
"681",680,7.7959,34.816,7.1983,34.92
"682",681,7.7839,34.814,7.1951,34.919
"683",682,7.7719,34.812,7.1884,34.919
"684",683,7.76,34.81,7.1795,34.919
"685",684,7.748,34.808,7.1658,34.919
"686",685,7.7361,34.806,7.1467,34.918
"687",686,7.7242,34.804,7.1351,34.918
"688",687,7.7123,34.802,7.1295,34.917
"689",688,7.7004,34.8,7.119,34.917
"690",689,7.6884,34.798,7.1044,34.917
"691",690,7.6765,34.796,7.0936,34.916
"692",691,7.6647,34.794,7.0865,34.916
"693",692,7.6528,34.792,7.0761,34.916
"694",693,7.6409,34.79,7.0687,34.915
"695",694,7.629,34.788,7.0659,34.915
"696",695,7.6171,34.786,7.0624,34.915
"697",696,7.6053,34.784,7.0541,34.914
"698",697,7.5934,34.782,7.0441,34.914
"699",698,7.5815,34.78,7.0323,34.914
"700",699,7.5697,34.778,7.0199,34.914
"701",700,7.5578,34.776,7.0062,34.914
"702",701,7.546,34.773,6.9938,34.914
"703",702,7.5342,34.771,6.9841,34.913
"704",703,7.5223,34.769,6.9737,34.913
"705",704,7.5105,34.767,6.9657,34.912
"706",705,7.4986,34.765,6.9587,34.912
"707",706,7.4868,34.763,6.9478,34.912
"708",707,7.475,34.761,6.938,34.912
"709",708,7.4632,34.759,6.9323,34.911
"710",709,7.4513,34.757,6.9299,34.911
"711",710,7.4395,34.755,6.9264,34.911
"712",711,7.4277,34.753,6.9123,34.911
"713",712,7.4159,34.751,6.8955,34.91
"714",713,7.404,34.749,6.8862,34.91
"715",714,7.3922,34.747,6.8776,34.91
"716",715,7.3804,34.745,6.8707,34.909
"717",716,7.3686,34.743,6.862,34.909
"718",717,7.3568,34.741,6.8544,34.909
"719",718,7.3449,34.739,6.8468,34.909
"720",719,7.3331,34.737,6.8407,34.909
"721",720,7.3213,34.735,6.8353,34.909
